Name,URL,Address,TransferRate,CurrenciesReceive,CurrenciesSend,TimeRetrieved
Bitstamp,https://www.bitstamp.net/,rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B,1002000000,"AUD,BTC,CHF,EUR,GBP,JPY,USD","#$%,100,ARP,ARS,ASS,AUD,BCH,BFG,BIT,BRL,BTC,Btc,CAD,CHF,CNY,CZK,DYM,ETC,ETH,EUR,GBP,GCB,GKO,HKD,INR,JPY,KRW,LTC,MAI,MTL,MXN,NXT,NZD,PLN,PPC,QOR,RSC,RUB,RUR,SEK,SGD,STR,TCC,TOK,TWD,UCD,USD,XLM,XNF,XPM,XXX,ZAR,usd",2021-05-14T07:07:45Z
Coinex,http://www.coinex.co.nz,rsP3mgGb2tcYUrxiLFiHJiQXhsziegtwBc,0,"AUD,BTC,NZD,STR,USD,XHP","AUD,BTC,EUR,GBP,GLD,JED,KKK,LTC,NXT,NZD,SRT,STR,USD,XBT,XHP,XMR,XRR",2021-05-14T07:07:45Z
Devcoin,http://ripple.d.evco.in/,r3gHXhK1pwZFG9ESiaosxjufEVQjwGuJUd,0,DVC,"BTC,DEV,DVC,EUR,LTC,USD",2021-05-14T07:07:45Z
Dividend Rippler,https://www.dividendrippler.com/,rfYv1TXnwgDDK4WQNbFALykYuEBnrR4pDX,0,"BTC,LTC,NMC,STR,TRC","AUD,BTC,CAD,CNY,DJK,DRK,DSH,EUR,FTC,ICE,JPY,KEM,LTC,NMC,PPC,RXM,STR,TBL,TRC,USD,XRR",2021-05-14T07:07:45Z
Goodwill LETS,https://ripple.com/forum/viewtopic.php?f=1&t=2895,rGDWKWni6exeneJdNbEZ3nVX3Rrw5VG1p1,0,GDW,GDW,2021-05-14T07:07:45Z
ICE,https://ripple.com/forum/viewtopic.php?f=1&t=3958,r4H3F9dDaYPFwbrUsusvNAHLz2sEZk4wE5,0,ICE,"BTC,CNY,EUR,ICE,LTC,USD,XRR",2021-05-14T07:07:45Z
Justcoin,https://justcoin.com/,rJHygWcTLVpSXkowott6kzgZU6viQSVYM1,0,"BTC,EUR,LTC,STR","AUD,BTC,CNY,EUR,GBP,JPY,LTC,NOK,STR,USD",2021-05-14T07:07:45Z
Peercover,https://www.peercover.com/,ra9eZxMbJrUcgV8ui7aPc161FgrqWScQxV,1001000000,"42C,AUR,BKC,BTC,DOG,DRK,ETH,EVG,EXN,FLT,FTC,HIC,HVC,ISR,LTC,MIN,MPL,MZC,NMC,NVC,NXT,POP,PPC,QRK,RDD,SPA,USD,VTC,WDC,XBC,XPM","42C,888,APH,AUR,AUT,BKC,BTC,BTL,BTS,C20,CDC,DAM,DGC,DIM,DOG,DRK,E60,ECC,EMC,ETH,EUR,EVG,EXN,FLT,FTC,HIC,HIT,HTC,HVC,IFC,ISR,LTC,MIN,MPL,MTC,MZC,NMC,NOB,NVC,NXT,PCV,POP,PPC,PPK,Q2C,QRK,RDD,SPA,TIX,USD,VTC,WDC,XBC,XPM,XRR",2021-05-14T07:07:45Z
Ripple Israel,http://rippleisrael.co.il/,rNPRNzBB92BVpAhhZr4iXDTveCgV5Pofm9,1002000000,"BTC,BTX,EGD,EUR,ILS,LTC,NMC,PPC,USD","BTC,BTX,CNY,EDG,EGD,EGE,EUR,GBP,GCB,IBC,ILS,ILX,ISR,JCB,LTC,NMC,NYB,PAY,PPC,R99,R9B,R9P,R9R,RMG,RNP,RUB,STR,USD,V9R,VEB,VR8,VR9,VRB,VRP,VSD,XRR",2021-05-14T07:07:45Z
Ripple Union,http://rippleunion.com/,r3ADD8kXSUKHd6zTCKfnKT3zV9EZHjzp1S,0,"BTC,CAD,CNY,EUR,USD","BTC,CAD,CNY,DOG,EUR,USD,XAG,XAU,XMC",2021-05-14T07:07:45Z
